ne_name,top_keys
CARDINAL,"[('電影新聞', [('20 億', 1), ('25', 1), ('50', 1), ('2077', 1), ('四分之三', 1), ('億美元', 1), ('4000 ', 1)]), ('影集新聞', [('20', 3), ('20 億', 1), ('25', 1), ('50', 1), ('一千一百萬', 1), ('3/29', 1), ('三十', 1), ('二十', 1), ('一半', 1), ('五位', 1), ('廿六', 1), ('10', 1), ('76 ', 1), ('160 億', 1), (' 萬', 1), ('百萬', 1), ('近百', 1)]), ('電影影評', [('千萬', 2), ('1976', 1), ('一通', 1), ('1 ', 1), ('三分之二', 1), ('一半', 1)]), ('電影專題', [('20', 5), ('二十億', 4), ('10', 2), ('三十六億', 2), ('3-10-10', 1), ('6-5', 1), ('-39-9', 1), ('十五', 1), ('二十', 1), ('三分之二', 1), ('十四多萬', 1), ('四十八', 1), ('一億日圓', 1), ('五億', 1), ('二十七億', 1), ('十億', 1), ('五十億', 1), ('五十九億', 1), ('十四億', 1), ('十幾', 1)]), ('全部', [('20', 8), ('二十億', 4), ('10', 3), ('20 億', 2), ('25', 2), ('50', 2), ('二十', 2), ('一半', 2), ('千萬', 2), ('三分之二', 2), ('三十六億', 2), ('2077', 1), ('四分之三', 1), ('億美元', 1), ('4000 ', 1), ('一千一百萬', 1), ('3/29', 1), ('三十', 1), ('五位', 1), ('廿六', 1)])]"
DATE,"[('電影新聞', [(' 年', 4), ('今年', 4), ('去年', 4), ('4 月', 2), ('一個月', 2), ('2077 年', 2), ('當年', 2), ('七〇年代', 2), ('昭和時代', 2), ('一年', 2), ('年度', 1), ('2020 年度', 1), ('半世紀', 1), ('兩年', 1), ('2018\xa0年', 1), ('週末', 1), ('2024', 1), ('\xa021\xa0日至\xa07\xa0月\xa06\xa0日', 1), ('5月 中旬', 1), (' 2006 年', 1)]), ('影集新聞', [(' 年', 4), ('今年', 4), ('去年', 3), ('一年', 3), ('4 月', 2), ('近日', 2), ('年度', 1), ('2020 年度', 1), (' 2006 年', 1), ('夏天', 1), ('12 年後', 1), ('三年', 1), ('12 年前', 1), ('第二季', 1), (' 2014 年', 1), ('2014、15 年', 1), ('九零年代', 1), (' 年代', 1), ('五〇年代', 1), ('五年後', 1)]), ('電影影評', [('十年', 3), ('八〇年代', 3), ('當年', 2), ('2016 年', 2), ('三年', 2), ('數十年', 2), ('下週', 2), ('15 ', 1), ('13 歲', 1), ('1 歲', 1), ('53 歲', 1), ('2008 年', 1), ('8 年', 1), ('過幾個月', 1), ('九〇年代', 1), ('二〇〇〇年代', 1), (' 4 月 1 日', 1), (' 1995 年', 1), (' 2006 年', 1), ('2015 年', 1)]), ('電影專題', [('今年', 6), (' 年', 4), ('2023 年', 3), ('一百天', 3), ('夏日', 2), ('冬日', 2), ('數十年', 2), ('七〇年代', 2), ('幾個月', 2), ('十六年', 2), ('三年', 2), ('二十個月', 2), ('一天', 2), ('2007 年', 2), ('2013 年', 2), ('今日', 2), ('三個月', 2), ('十年', 2), (' 80 年代', 2), ('當天', 2)]), ('全部', [('今年', 15), (' 年', 12), ('去年', 8), ('數十年', 5), ('一年', 5), ('三年', 5), ('十年', 5), ('4 月', 4), ('一個月', 4), ('2016 年', 4), ('當年', 4), ('七〇年代', 4), ('今日', 4), ('一天', 4), ('2023 年', 4), ('八〇年代', 4), (' 2006 年', 3), (' 2014 年', 3), ('今天', 3), (' 2021 年', 3)])]"
EVENT,"[('電影新聞', [('坎城影', 1), ('核戰', 1)]), ('影集新聞', [('生活大爆炸', 1)]), ('電影影評', [('第三次世界大戰', 1), ('大戰', 1)]), ('電影專題', [('真實事件', 1), ('南北戰爭', 1), ('特洛伊戰爭', 1)]), ('全部', [('坎城影', 1), ('核戰', 1), ('生活大爆炸', 1), ('第三次世界大戰', 1), ('大戰', 1), ('真實事件', 1), ('南北戰爭', 1), ('特洛伊戰爭', 1)])]"
FAC,"[('電影新聞', [('全美戲院', 1), ('戲院', 1), ('光點華山電影館', 1)]), ('影集新聞', [('紅岸基地', 1)]), ('電影影評', [('老橡樹酒館', 2), ('京都祇園開料亭', 1), ('木質球場', 1), ('北極百貨店', 1), ('老橡樹酒', 1)]), ('電影專題', [('汐路', 4), ('櫻橋', 2), ('佛萊迪餐館', 2), ('威利餐館', 2), ('神奈川的藤澤站', 1), ('鎌倉站', 1), ('飯山線', 1), ('越後川口站', 1), ('澀谷', 1), ('神宮通大道', 1), ('東天祖神社', 1), ('平山假日會', 1), ('狩集汐路', 1), ('我路', 1), ('豪華大飯店的宴會廳', 1), ('廣島', 1), ('101 公路', 1), ('丸金溫泉場', 1), ('華爾街', 1), ('銀河系', 1)]), ('全部', [('汐路', 4), ('老橡樹酒館', 2), ('櫻橋', 2), ('佛萊迪餐館', 2), ('威利餐館', 2), ('全美戲院', 1), ('戲院', 1), ('光點華山電影館', 1), ('紅岸基地', 1), ('京都祇園開料亭', 1), ('木質球場', 1), ('北極百貨店', 1), ('老橡樹酒', 1), ('神奈川的藤澤站', 1), ('鎌倉站', 1), ('飯山線', 1), ('越後川口站', 1), ('澀谷', 1), ('神宮通大道', 1), ('東天祖神社', 1)])]"
GPE,"[('電影新聞', [('日本', 9), ('香港', 6), ('法國', 3), ('英國', 3), ('美國', 2), ('東京', 2), ('台灣', 2), ('加州', 2), ('西蒙蘇西納', 2), ('西班牙', 2), ('大阪', 1), ('京都', 1), ('臺南', 1), ('南都', 1), ('紐約', 1), ('坎城', 1), ('拉斯維加斯', 1), ('大陸酒店', 1), ('卡隆', 1), ('保羅沃克', 1)]), ('影集新聞', [('日本', 10), ('香港', 4), ('中國', 4), ('美國', 3), ('台灣', 3), ('韓國', 2), ('紐約', 1), ('安德魯史考特', 1), ('倫敦', 1), ('澤城', 1), ('福島潤', 1), ('富岡', 1), ('奧斯卡', 1), ('阿帝國', 1), ('德州', 1)]), ('電影影評', [('日本', 10), ('美國', 6), ('三池', 6), ('韓國', 5), ('紐約', 5), ('台灣', 4), ('相米', 3), ('中國', 3), ('哥吉', 2), ('上海', 2), ('巴黎', 2), ('肯洛區', 2), ('英國', 2), ('波蘭', 1), ('芬蘭', 1), ('俄羅斯', 1), ('三池崇史', 1), ('龜梨和', 1), ('哥吉拉', 1), ('法國', 1)]), ('電影專題', [('日本', 42), ('美國', 31), ('東京', 14), ('台灣', 9), ('廣島', 8), ('平山', 6), ('英國', 6), ('芭比', 5), ('紐約', 4), ('倫敦', 4), ('奧克拉荷馬州', 4), ('高濱', 4), ('澀谷區', 3), ('義大利', 3), ('臺灣', 3), ('韓國', 3), ('南台灣', 2), ('新潟', 2), ('德川', 2), ('達達拉城', 2)]), ('全部', [('日本', 71), ('美國', 42), ('台灣', 18), ('東京', 16), ('紐約', 11), ('英國', 11), ('香港', 10), ('韓國', 10), ('中國', 8), ('廣島', 8), ('倫敦', 6), ('三池', 6), ('平山', 6), ('法國', 5), ('芭比', 5), ('奧克拉荷馬州', 4), ('高濱', 4), ('加州', 3), ('上海', 3), ('相米', 3)])]"
LANGUAGE,"[('電影新聞', []), ('影集新聞', [('粵語', 1), ('華語', 1)]), ('電影影評', [('芬蘭語', 1)]), ('電影專題', [('中文', 1)]), ('全部', [('粵語', 1), ('華語', 1), ('芬蘭語', 1), ('中文', 1)])]"
LAW,"[('電影新聞', [('特雷弗專案', 1)]), ('影集新聞', []), ('電影影評', []), ('電影專題', []), ('全部', [('特雷弗專案', 1)])]"
LOC,"[('電影新聞', [('鹿兒島', 1)]), ('影集新聞', [('鹿兒島', 1), ('亞洲', 1)]), ('電影影評', [('台中山', 1), ('肯洛區', 1), ('洛區', 1)]), ('電影專題', [('平山', 10), ('月島', 3), ('阿爾卑斯山', 1), ('東京灣', 1), ('柳島', 1), ('廣島', 1), ('富士山', 1), ('希臘小島', 1)]), ('全部', [('平山', 10), ('月島', 3), ('鹿兒島', 2), ('亞洲', 1), ('台中山', 1), ('肯洛區', 1), ('洛區', 1), ('阿爾卑斯山', 1), ('東京灣', 1), ('柳島', 1), ('廣島', 1), ('富士山', 1), ('希臘小島', 1)])]"
MONEY,"[('電影新聞', [('2 億美元', 1), (' 萬美元', 1)]), ('影集新聞', [('2 億美元', 1)]), ('電影影評', [('萬美元', 1), ('2.5 億美元', 1)]), ('電影專題', [('1億美元', 1), ('一美元', 1)]), ('全部', [('2 億美元', 2), (' 萬美元', 1), ('萬美元', 1), ('2.5 億美元', 1), ('1億美元', 1), ('一美元', 1)])]"
NORP,"[('電影新聞', [('日本人', 2), ('台灣人', 1), ('羅馬', 1), ('日本', 1)]), ('影集新聞', [('南方水族', 1), ('三體人', 1), ('日本人', 1)]), ('電影影評', [('愛德華', 1), ('日本', 1), ('俄羅斯人', 1), ('芬蘭人', 1), ('英國', 1), ('台灣人', 1)]), ('電影專題', [('美國', 5), ('日本人', 4), ('奧塞奇族', 4), ('中國', 3), ('奧塞奇人', 3), ('日本', 2), ('印地安人', 2), ('英國', 2), ('台灣人', 1), ('京都', 1), ('倫敦人', 1), ('廣島人', 1), ('奧塞奇族人', 1), ('西西史', 1), ('閩南人', 1)]), ('全部', [('日本人', 7), ('美國', 5), ('日本', 4), ('奧塞奇族', 4), ('台灣人', 3), ('英國', 3), ('中國', 3), ('奧塞奇人', 3), ('印地安人', 2), ('羅馬', 1), ('南方水族', 1), ('三體人', 1), ('愛德華', 1), ('俄羅斯人', 1), ('芬蘭人', 1), ('京都', 1), ('倫敦人', 1), ('廣島人', 1), ('奧塞奇族人', 1), ('西西史', 1)])]"
